genes	GOcats
AC187098.4_FG011	GO:0003677
AC187098.4_FG011	GO:0005634
AC187098.4_FG011	GO:0006355
AC187157.4_FG001	GO:0003677
AC187157.4_FG001	GO:0003700
AC187157.4_FG001	GO:0006355
AC187157.4_FG005	GO:0003700
AC187157.4_FG005	GO:0006355
AC187157.4_FG005	GO:0043565
AC187157.4_FG007	GO:0006412
AC187216.4_FG011	GO:0003676
AC187216.4_FG011	GO:0005634
AC187217.4_FG007	GO:0003676
AC187217.4_FG007	GO:0008270
AC187218.4_FG006	GO:0003676
AC187218.4_FG006	GO:0003677
AC187218.4_FG006	GO:0008270
AC187243.3_FG005	GO:0042309
AC187243.3_FG005	GO:0050825
AC187243.3_FG005	GO:0050826
AC187262.4_FG007	GO:0042309
AC187262.4_FG007	GO:0050825
AC187262.4_FG007	GO:0050826
AC187338.3_FG007	GO:0042309
AC187338.3_FG007	GO:0050825
AC187338.3_FG007	GO:0050826
AC187459.3_FG002	GO:0003676
AC187459.3_FG002	GO:0008270
AC187476.3_FG003	GO:0007155
AC187476.3_FG003	GO:0008037
AC187476.3_FG003	GO:0019058
AC187551.3_FG006	GO:0003676
AC187551.3_FG006	GO:0003677
AC187551.3_FG006	GO:0008270
AC187579.4_FG006	GO:0003677
AC187792.3_FG008	GO:0004672
AC187792.3_FG008	GO:0005509
AC187792.3_FG008	GO:0005524
AC187792.3_FG008	GO:0006468
AC187803.3_FG004	GO:0042309
AC187803.3_FG004	GO:0050825
AC187803.3_FG004	GO:0050826
AC187820.2_FG001	GO:0003676
AC187820.2_FG001	GO:0008270
AC187821.3_FG010	GO:0004674
AC187821.3_FG010	GO:0005524
AC187821.3_FG010	GO:0006468
AC187837.4_FG016	GO:0003676
AC187837.4_FG016	GO:0003677
AC187837.4_FG016	GO:0008270
AC187840.3_FG002	GO:0003676
AC187840.3_FG002	GO:0003677
AC187840.3_FG002	GO:0004879
AC187840.3_FG002	GO:0005634
AC187840.3_FG002	GO:0006355
AC187840.3_FG002	GO:0008270
AC187843.3_FG001	GO:0003677
AC187843.3_FG001	GO:0045449
AC187843.3_FG010	GO:0003677
AC187843.3_FG010	GO:0045449
AC187885.3_FG005	GO:0005179
AC187885.3_FG005	GO:0005576
AC187895.2_FG002	GO:0004938
AC187895.2_FG002	GO:0004952
AC187895.2_FG002	GO:0007186
AC187895.2_FG002	GO:0016021
AC187898.4_FG004	GO:0042309
AC187898.4_FG004	GO:0050825
AC187898.4_FG004	GO:0050826
AC187904.3_FG007	GO:0003676
AC187904.3_FG007	GO:0003677
AC187904.3_FG007	GO:0008270
AC187910.5_FG002	GO:0006810
AC187910.5_FG004	GO:0003677
AC187919.5_FG010	GO:0005515
AC187919.5_FG010	GO:0008270
AC188001.3_FG009	GO:0005681
AC188001.3_FG009	GO:0008380
AC188024.3_FG003	GO:0004672
AC188024.3_FG003	GO:0004674
AC188024.3_FG003	GO:0005524
AC188024.3_FG003	GO:0006468
AC188195.2_FG003	GO:0004867
AC188195.2_FG003	GO:0009611
AC188195.2_FG004	GO:0004867
AC188195.2_FG004	GO:0009611
AC188195.2_FG005	GO:0004867
AC188195.2_FG005	GO:0009611
AC188582.3_FG002	GO:0003824
AC188582.3_FG002	GO:0003878
AC188582.3_FG002	GO:0004775
AC188582.3_FG002	GO:0008152
AC188612.3_FG002	GO:0000166
AC188612.3_FG002	GO:0003676
AC188612.3_FG002	GO:0004812
AC188612.3_FG002	GO:0005524
AC188612.3_FG002	GO:0005737
AC188612.3_FG002	GO:0006412
AC188612.3_FG002	GO:0006418
AC188612.3_FG002	GO:0008270
AC188612.3_FG008	GO:0008152
AC188612.3_FG008	GO:0016491
AC188612.3_FG008	GO:0055114
AC188710.4_FG006	GO:0003676
AC188710.4_FG006	GO:0005524
AC188710.4_FG006	GO:0008270
AC188710.4_FG006	GO:0016887
AC188716.3_FG005	GO:0003676
AC188716.3_FG005	GO:0008270
AC188734.3_FG004	GO:0005179
AC188734.3_FG004	GO:0005576
AC188746.2_FG001	GO:0009306
AC188746.2_FG001	GO:0015450
AC188746.2_FG001	GO:0016021
AC188752.3_FG008	GO:0003723
AC188752.3_FG008	GO:0003968
AC188752.3_FG008	GO:0006350
AC188752.3_FG008	GO:0019079
AC188759.3_FG008	GO:0003735
AC188759.3_FG008	GO:0005622
AC188759.3_FG008	GO:0005840
AC188759.3_FG008	GO:0006412
AC188826.3_FG004	GO:0003676
AC188826.3_FG004	GO:0008270
AC188831.3_FG005	GO:0004197
AC188831.3_FG005	GO:0006508
AC188831.3_FG008	GO:0005247
AC188831.3_FG008	GO:0006821
AC188831.3_FG008	GO:0016020
AC188831.3_FG008	GO:0042309
AC188831.3_FG008	GO:0050825
AC188831.3_FG008	GO:0050826
AC188831.3_FG008	GO:0055085
AC188832.5_FG005	GO:0003700
AC188832.5_FG005	GO:0005634
AC188832.5_FG005	GO:0006355
AC188838.3_FG005	GO:0004044
AC188838.3_FG005	GO:0008152
AC188838.3_FG005	GO:0009113
AC188838.3_FG005	GO:0009116
AC188965.3_FG003	GO:0003676
AC188965.3_FG003	GO:0004190
AC188965.3_FG003	GO:0006508
AC188965.3_FG003	GO:0008270
AC188968.3_FG001	GO:0003677
AC188968.3_FG001	GO:0004879
AC188968.3_FG001	GO:0005634
AC188968.3_FG001	GO:0006355
AC188968.3_FG001	GO:0042309
AC188968.3_FG001	GO:0050825
AC188968.3_FG001	GO:0050826
AC188980.3_FG014	GO:0003677
AC189073.3_FG001	GO:0003677
AC189079.3_FG008	GO:0008270
AC189081.2_FG007	GO:0016020
AC189084.3_FG002	GO:0004966
AC189084.3_FG002	GO:0007186
AC189084.3_FG002	GO:0016021
AC189100.4_FG002	GO:0008152
AC189100.4_FG002	GO:0016747
AC189750.4_FG004	GO:0008152
AC189750.4_FG004	GO:0016671
AC189750.4_FG004	GO:0016740
AC189750.4_FG004	GO:0019419
AC189750.4_FG004	GO:0042309
AC189750.4_FG004	GO:0045454
AC189750.4_FG004	GO:0050825
AC189750.4_FG004	GO:0050826
AC189750.4_FG004	GO:0055114
AC189754.3_FG004	GO:0003899
AC189754.3_FG004	GO:0006350
AC189754.3_FG004	GO:0046983
AC189766.3_FG001	GO:0005488
AC189766.3_FG005	GO:0042309
AC189766.3_FG005	GO:0050825
AC189766.3_FG005	GO:0050826
AC189770.3_FG004	GO:0000786
AC189770.3_FG004	GO:0003677
AC189770.3_FG004	GO:0005634
AC189770.3_FG004	GO:0006334
AC189792.3_FG001	GO:0003676
AC189792.3_FG001	GO:0008270
AC189879.3_FG003	GO:0003676
AC189933.2_FG001	GO:0003735
AC189933.2_FG001	GO:0005622
AC189933.2_FG001	GO:0005840
AC189933.2_FG001	GO:0006412
AC190225.2_FG001	GO:0005622
AC190225.2_FG001	GO:0008270
AC190225.2_FG001	GO:0042309
AC190225.2_FG001	GO:0050825
AC190225.2_FG001	GO:0050826
AC190490.1_FG006	GO:0003677
AC190490.1_FG006	GO:0004879
AC190490.1_FG006	GO:0005634
AC190490.1_FG006	GO:0006355
AC190498.1_FG007	GO:0003677
AC190498.1_FG007	GO:0004879
AC190498.1_FG007	GO:0005634
AC190498.1_FG007	GO:0006355
AC190498.1_FG007	GO:0042309
AC190498.1_FG007	GO:0050825
AC190498.1_FG007	GO:0050826
AC190499.1_FG003	GO:0003824
AC190499.1_FG003	GO:0004252
AC190499.1_FG003	GO:0006508
AC190507.1_FG007	GO:0005524
AC190507.1_FG007	GO:0006139
AC190507.1_FG007	GO:0019205
AC190512.1_FG003	GO:0003677
AC190526.3_FG004	GO:0031072
AC190537.2_FG002	GO:0003676
