Gene	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3	ck_rep1.RPKM	ck_rep2.RPKM	ck_rep3.RPKM	trt_rep1.RPKM	trt_rep2.RPKM	trt_rep3.RPKM	log2FC	pval	qval	ck.mean	trt.mean
GRMZM2G086766	57	63	84	106	74	109	2.233	2.34	3.229	4.541	2.934	3.913	0.536385196321513	0.164898353821954	0.697112107277396	66.9	101.1
GRMZM2G086768	65	54	40	34	76	54	3.626	2.856	2.19	2.075	4.291	2.76	0.0452299087976698	0.926015829580644	0.993096770368688	52	39
GRMZM2G086779	235	264	248	262	235	178	14.341	15.276	14.852	17.489	14.517	9.955	-0.122969488623735	0.664924247784496	0.946745141916368	244.3	270.3
GRMZM2G086788	4309	5570	4509	3276	4404	4281	186.963	229.165	191.992	155.483	193.43	170.228	-0.231867549760732	0.148264467246848	0.674902011277627	4695.8	4088.2
GRMZM2G086789	467	392	430	628	511	443	27.164	21.621	24.545	39.957	30.088	23.615	0.323567171216505	0.165644740059218	0.698900187552208	422.8	565
GRMZM2G086801	448	514	450	484	490	546	20.763	22.589	20.467	24.537	22.989	23.191	0.144822062584882	0.486675610068076	0.899300212263303	461.5	495.2
GRMZM2G086805	482	550	538	404	652	540	33.273	36.002	36.446	30.506	45.561	34.162	0.0374383889955991	0.862895785880644	0.986564052919362	513.6	495.1
GRMZM2G086835	17	6	15	135	19	31	1.134	0.38	0.982	9.854	1.283	1.896	1.97366920471161	0.00278348684906712	0.0619689721135463	12.6	82.5
GRMZM2G086841	163	84	97	211	142	129	10.066	4.919	5.879	14.253	8.877	7.301	0.550478202343551	0.0733056840992408	0.512259578817878	113.2	165.9
GRMZM2G086845	58	92	56	171	111	158	1.703	2.562	1.614	5.493	3.3	4.252	1.1459694359884	0.00382306794233088	0.0779624196649451	67	123.1
GRMZM2G086856	30	12	29	53	9	37	1.693	0.642	1.606	3.272	0.514	1.914	0.339859633327199	0.581715960018633	0.926925891646772	23.5	44
GRMZM2G086869	650	610	704	608	646	970	30.419	27.069	32.331	31.124	30.603	41.601	0.188118639831998	0.339107696266482	0.836048135911635	644.1	691.9
GRMZM2G086876	1274	1235	1325	801	779	1224	45.274	41.616	46.208	31.137	28.023	39.863	-0.444426137653814	0.0189829427908358	0.241578492859122	1256.4	1111.6
GRMZM2G086882	1113	1183	1049	1047	1266	1044	62.52	63.012	57.826	64.332	71.987	53.744	0.0390504515640794	0.832441654813677	0.983815618646733	1093.9	1109.2
GRMZM2G086887	2611	2685	2708	1542	2572	2929	62.206	60.657	63.313	40.185	62.028	63.951	-0.197025458996976	0.328412091438371	0.827563643593279	2620.7	2219.1
GRMZM2G086904	1030	1119	1159	1559	1137	1420	81.573	84.033	90.077	135.056	91.152	103.063	0.342084369920787	0.103780171855003	0.590232369033701	1083.1	1448.8
GRMZM2G086906	358	398	308	631	247	318	29.69	31.299	25.067	57.243	20.736	24.169	0.0969007745287628	0.764209757256312	0.968044701431073	347.5	505.3
GRMZM2G086920	996	1040	1103	736	1084	1251	52.78	52.258	57.36	42.663	58.148	60.754	-0.0261628252046669	0.893010349718005	0.99003373507133	1028.1	963.8
GRMZM2G086925	20	18	26	18	15	15	0.869	0.742	1.109	0.856	0.66	0.598	-0.365853313730325	0.604746326126252	0.933927152758219	21	23.1
GRMZM2G086935	7	6	3	49	34	59	0.545	0.443	0.229	4.176	2.682	4.213	3.19125315453851	1.08663682231857e-05	0.000609174435149446	5.2	28.7
GRMZM2G086937	253	280	266	237	278	227	7.826	8.212	8.074	8.019	8.704	6.435	-0.0726017634456251	0.772977774433568	0.970073364393675	261.4	265.5
GRMZM2G086940	13	7	13	34	8	7	0.893	0.456	0.876	2.555	0.556	0.441	0.307924836927177	0.737793324819775	0.966104673055719	10.9	25.4
GRMZM2G086943	326	338	319	604	470	549	13.894	13.66	13.342	28.158	20.277	21.443	0.754315941908275	0.000870495784375865	0.0247900160827842	321.7	495.8
GRMZM2G086946	7	11	12	4	8	8	0.219	0.326	0.369	0.137	0.253	0.229	-0.576797943803181	0.568415594119643	0.921620632208052	9.8	8.3
GRMZM2G086949	19	3	7	17	14	5	0.449	0.067	0.162	0.439	0.335	0.108	0.498340017065631	0.629078108287056	0.93808575535374	9.6	13
GRMZM2G086964	397	464	500	380	398	695	16.751	18.565	20.704	17.539	17	26.875	0.102878301834112	0.643057696073064	0.940591453966252	445.6	462.6
GRMZM2G086971	917	1248	1034	793	964	1128	21.883	28.24	24.215	20.7	23.287	24.669	-0.114501889927576	0.542218042842365	0.915291162745048	1044	960.7
GRMZM2G086992	182	149	218	191	203	224	9.745	7.565	11.455	11.187	11.003	10.992	0.220534073050004	0.428955254548244	0.875381892868324	180.5	215.8
GRMZM2G086994	565	538	648	440	466	664	17.954	16.211	20.207	15.294	14.99	19.337	-0.139416202482869	0.485473070015226	0.898990945390031	574.4	570.4
GRMZM2G087032	1716	1660	2019	1213	1526	1911	57.07	52.349	65.894	44.128	51.374	58.245	-0.195718737147981	0.270965165944451	0.799039689631988	1769.8	1689.7
GRMZM2G087041	2139	2255	2707	1782	2204	3201	150.103	150.051	186.419	136.788	156.562	205.859	0.0199775629549584	0.906683481770209	0.991606572556132	2328.3	2351.8
GRMZM2G087059	18	4	6	59	17	44	0.702	0.148	0.23	2.516	0.671	1.572	2.24204802032466	0.00105546253609374	0.0288277174268588	9.3	35.8
GRMZM2G087063	581	644	682	645	572	634	24.909	26.181	28.694	30.248	24.824	24.91	-0.00445037282222782	0.983385649562518	0.997092642933074	624.4	701.3
GRMZM2G087068	51	46	50	142	49	87	3.01	2.575	2.896	9.168	2.928	4.706	0.837836266543603	0.0622203533376365	0.47465084230785	48.2	104
GRMZM2G087069	5	11	7	6	2	8	0.197	0.411	0.271	0.259	0.08	0.289	-0.550052038738307	0.663404920176092	0.946678509744313	7.5	6.9
GRMZM2G087079	816	595	1000	1042	446	1346	50.785	35.113	61.075	70.936	28.098	76.77	0.164660608789259	0.47565480714159	0.894242896451031	794	1081.8
GRMZM2G087081	143	132	132	211	202	147	7.714	6.752	6.988	12.45	11.03	7.267	0.48446914757174	0.110842378713934	0.60679919673665	133.3	183.6
GRMZM2G087094	222	175	258	1119	99	308	13.864	10.363	15.812	76.442	6.259	17.628	0.582832260555365	0.52976058029296	0.91070403369364	215.4	751
GRMZM2G087103	34	30	41	35	52	73	1.642	1.374	1.944	1.849	2.543	3.232	0.597972470529339	0.217712106718937	0.75808068741823	34.5	40.1
GRMZM2G087105	520	547	488	319	539	436	23.674	23.614	21.803	15.886	24.84	18.191	-0.256612394027799	0.26091755268161	0.792883343582074	508.6	422.7
GRMZM2G087117	194	247	187	121	189	211	9.346	11.283	8.841	6.376	9.217	9.315	-0.257454807860989	0.359056458208234	0.847187005767101	204.9	161.3
GRMZM2G087137	344	342	290	310	269	351	16.934	15.964	14.01	16.693	13.405	15.835	-0.0354445168201691	0.881077101864975	0.98822924397259	319.2	318.1
